year	location_1	location_2	parasite_flow
2012	Mukdahan	Ang Thong	0.000180205149095374
2012	Nakhon Nayok	Ang Thong	0.00020430031365765
2012	Nakhon Pathom	Ang Thong	0.0012939196453658
2012	Nakhon Phanom	Ang Thong	7.44542497413476e-05
2012	Nakhon Ratchasima	Ang Thong	0.000984694792466895
2012	Nakhon Sawan	Ang Thong	0.0011004992588944
2012	Nakhon Si Thammarat	Ang Thong	0.000296453723411077
2012	Nan	Ang Thong	0
2012	Narathiwat	Ang Thong	0.000195539686355636
2012	Nong Bua Lam Phu	Ang Thong	0.000152880923687081
2012	Nong Khai	Ang Thong	0
2012	Nonthaburi	Ang Thong	0.000264532490661489
2012	Pathum Thani	Ang Thong	0.00159676702045695
2012	Pattani	Ang Thong	0.000300293987880913
2012	Phangnga	Ang Thong	0.000275601532965525
2012	Phatthalung	Ang Thong	3.23088214718403e-05
2012	Phayao	Ang Thong	9.59443286236738e-05
2012	Phetchabun	Ang Thong	0.000571701808857422
2012	Phetchaburi	Ang Thong	0.00139262604697568
2012	Phichit	Ang Thong	9.80956835839548e-05
2012	Phitsanulok	Ang Thong	0.000435666770322302
2012	Phra Nakhon Si Ayutthaya	Ang Thong	0.000563941449458667
2012	Phrae	Ang Thong	8.73022853319122e-05
2012	Phuket	Ang Thong	0.000127745631669832
2012	Prachin Buri	Ang Thong	0
2012	Prachuap Khiri Khan	Ang Thong	0.00104248579271144
2012	Ranong	Ang Thong	9.78236076731543e-05
2012	Ratchaburi	Ang Thong	0.00227651257853896
2012	Rayong	Ang Thong	0.000602915472123709
2012	Roi Et	Ang Thong	0.000218783596875041
2012	Sa Kaeo	Ang Thong	0.000471408900076198
2012	Sakon Nakhon	Ang Thong	0.00015016465843369
2012	Samut Prakan	Ang Thong	0.000355224054148181
2012	Samut Sakhon	Ang Thong	0.000836267868995744
2012	Samut Songkhram	Ang Thong	0.000224708325753479
2012	Saraburi	Ang Thong	0.000788563238806348
2012	Satun	Ang Thong	4.87109170959566e-05
2012	Si Sa Ket	Ang Thong	0.000795453210848461
2012	Sing Buri	Ang Thong	0
2012	Songkhla	Ang Thong	0.000584015220778819
2012	Sukhothai	Ang Thong	0.000125357482117268
2012	Suphan Buri	Ang Thong	0.000611138935753381
2012	Surat Thani	Ang Thong	0.000450631427837393
2012	Surin	Ang Thong	0.000528940911123001
2012	Tak	Ang Thong	0.00031882450324611
2012	Trang	Ang Thong	0.00012616429421839
2012	Trat	Ang Thong	0.000182048903209392
2012	Ubon Ratchathani	Ang Thong	0.000585299995056456
2012	Udon Thani	Ang Thong	0.000232491294387163
2012	Uthai Thani	Ang Thong	0.000528029566535353
2012	Uttaradit	Ang Thong	0.000112529205213514
2012	Yala	Ang Thong	0.0003980814962042
2012	Yasothon	Ang Thong	0.000185738399078218
2012	Amnat Charoen	Bangkok	9.95674548064637e-05
2012	Ang Thong	Bangkok	0.00018263316092422
2012	Bangkok	Bangkok	0.0100005188342596
2012	Bueng Kan	Bangkok	0
2012	Buri Ram	Bangkok	0.000470626091380977
2012	Chachoengsao	Bangkok	0.000688413700549035
2012	Chai Nat	Bangkok	0
2012	Chaiyaphum	Bangkok	0
2012	Chanthaburi	Bangkok	0.000838291259151895
2012	Chiang Mai	Bangkok	0.000811076712370439
2012	Chiang Rai	Bangkok	0.000255838757456462
2012	Chon Buri	Bangkok	0.00199797836894107
2012	Chumphon	Bangkok	0.000517124818904727
2012	Kalasin	Bangkok	0.00014801009092635
2012	Kamphaeng Phet	Bangkok	3.85833250823415e-05
2012	Kanchanaburi	Bangkok	0.00292742899218915
2012	Khon Kaen	Bangkok	8.97356443451518e-05
2012	Krabi	Bangkok	0.000381224189701725
2012	Lampang	Bangkok	0.000296128231726699
2012	Lamphun	Bangkok	0.00029357447243293
2012	Loei	Bangkok	6.61980888170045e-05
2012	Lop Buri	Bangkok	0.000395034949594916
2012	Mae Hong Son	Bangkok	0.000159689526945539
2012	Maha Sarakham	Bangkok	8.812394037651e-05
2012	Mukdahan	Bangkok	0.000172938841619755
2012	Nakhon Nayok	Bangkok	0.000265721233332621
2012	Nakhon Pathom	Bangkok	0.00176348915323068
2012	Nakhon Phanom	Bangkok	6.99126437502284e-05
2012	Nakhon Ratchasima	Bangkok	0.000928282394225736
2012	Nakhon Sawan	Bangkok	0.000603438607220759
2012	Nakhon Si Thammarat	Bangkok	0.000340492037490126
2012	Nan	Bangkok	0
2012	Narathiwat	Bangkok	0.000218009151411424
2012	Nong Bua Lam Phu	Bangkok	0.000129526476868311
2012	Nong Khai	Bangkok	0
2012	Nonthaburi	Bangkok	0.000673375308745154
2012	Pathum Thani	Bangkok	0.00347918231364862
2012	Pattani	Bangkok	0.000337437053607773
2012	Phangnga	Bangkok	0.000310319558649578
2012	Phatthalung	Bangkok	3.65793071875024e-05
2012	Phayao	Bangkok	8.08057278793306e-05
2012	Phetchabun	Bangkok	0.000409779991399199
2012	Phetchaburi	Bangkok	0.00195699151324754
2012	Phichit	Bangkok	6.41682972691965e-05
2012	Phitsanulok	Bangkok	0.000321339984371248
2012	Phra Nakhon Si Ayutthaya	Bangkok	0.000320277331322305
2012	Phrae	Bangkok	7.02145595871824e-05
2012	Phuket	Bangkok	0.000142374040751718
2012	Prachin Buri	Bangkok	0
2012	Prachuap Khiri Khan	Bangkok	0.0013904033345251
2012	Ranong	Bangkok	0.000113334458251261
2012	Ratchaburi	Bangkok	0.00283406988767103
2012	Rayong	Bangkok	0.00102397605220702
2012	Roi Et	Bangkok	0.000210497368565454
2012	Sa Kaeo	Bangkok	0.000594782308719073
2012	Sakon Nakhon	Bangkok	0.00013812423998693
2012	Samut Prakan	Bangkok	0.00197431258859862
2012	Samut Sakhon	Bangkok	0.00193659132706428
2012	Samut Songkhram	Bangkok	0.000376640396385244
2012	Saraburi	Bangkok	0.000557075869723439
2012	Satun	Bangkok	5.4510617865944e-05
